epoch,loss
0,0.176196036631
1,0.138881582783
2,0.128730889022
3,0.12258906485
4,0.117063939733
5,0.113619763155
6,0.109726777613
7,0.106752990133
8,0.104337002271
9,0.102596113453
10,0.100795444827
11,0.0984433310204
12,0.0971273627167
13,0.0958590967661
14,0.0943071174709
15,0.0933114493535
16,0.0932531670943
17,0.0914586226536
18,0.0915545395984
19,0.0900794516331
20,0.0897368004183
21,0.0877245446644
22,0.0867656631933
23,0.0870115140245
24,0.085997405206
25,0.0856876478763
26,0.0854373928906
27,0.083940921209
28,0.0837468713727
29,0.0835433556312
30,0.0831406753674
31,0.0817655110944
32,0.0817636276536
33,0.0807343823289
34,0.0823560318962
35,0.0797711031267
36,0.08096650413
37,0.0792453275627
38,0.0790332000947
39,0.0788941090461
40,0.0784644530378
41,0.0774423126688
42,0.078984092468
43,0.0765410404584
44,0.0771313733141
45,0.0766188144371
46,0.076140571288
47,0.0769206765444
48,0.0759733644329
49,0.075630090534
50,0.076451755493
51,0.075141097308
52,0.0745302383037
53,0.0742751666994
54,0.0742656697919
55,0.0740530141705
56,0.0735942126672
57,0.0729750974735
58,0.0730466011989
59,0.0728204469931
60,0.0729675297474
61,0.0731406599461
62,0.0723147669598
63,0.0726807499362
64,0.0720524496724
65,0.0712171245134
66,0.0720347032064
67,0.0725318490594
68,0.0720520665909
69,0.0710135481681
70,0.0711779041834
71,0.0698862305593
72,0.0704983040469
73,0.0701426835157
74,0.0693205364477
75,0.0703894164178
76,0.069579733412
77,0.0699785613591
78,0.0684061427322
79,0.0695902396978
80,0.0695671127946
81,0.0702887547179
82,0.0698924264044
83,0.0684686226072
84,0.068405811859
85,0.0680701383848
86,0.068743377271
87,0.0676080820969
88,0.0683928069317
89,0.0687604084268
90,0.0685704724194
91,0.0684875224642
92,0.0677076774712
93,0.0680915705023
94,0.0670845185541
95,0.0678509174198
96,0.0666722575902
97,0.0670129064777
98,0.0662082252164
99,0.0664260708949
100,0.0663727174538
101,0.0663043644965
102,0.0668749283468
103,0.0658324762078
104,0.0656691009261
105,0.064936756328
106,0.0654305454696
107,0.0656044828225
108,0.0663804961577
109,0.0661883669754
110,0.0648971627463
111,0.0655728228089
112,0.0657214573907
113,0.0652656001572
114,0.0655966497027
115,0.0637571844211
116,0.0654631652146
117,0.0647482426059
118,0.064863034537
119,0.0638940045067
120,0.0636481968196
121,0.0646144448521
122,0.0648473685482
123,0.064559282107
124,0.0635475399549
125,0.063297137062
126,0.0639469658748
127,0.0650784618563
128,0.0638653635261
129,0.0618037602123
130,0.0638942418401
131,0.0647805204691
132,0.063168558397
133,0.0636057759261
134,0.0648511509601
135,0.0633750892427
136,0.0635598342549
137,0.0632161534288
138,0.0628160312511
139,0.0619658175311
140,0.0617793466777
141,0.0626369086889
142,0.0620171306382
143,0.0625919776779
144,0.0622018891442
145,0.0621962499916
146,0.0625002842844
147,0.0622633832299
148,0.0622607975003
149,0.0612666097577
训练集,0.351066789127 3.31049435721 0.731021522061
验证集,0.55317867594 4.71012891102 0.527739492067
测试集,0.346835986683 2.99298415382 0.646219465344
