epoch,loss
0,0.0392653885074
1,0.026217246436
2,0.023752987208
3,0.0222844198009
4,0.0215279411406
5,0.0209000434594
6,0.0202482031538
7,0.0201069550801
8,0.0194600559505
9,0.0192912197901
10,0.0190928950659
11,0.0185554995163
12,0.01885389977
13,0.0179330033013
14,0.0181085215565
15,0.0179029440198
16,0.0176806566248
17,0.0173726434754
18,0.017321012265
19,0.0170475527179
20,0.0171902756235
21,0.0167016837333
22,0.0164540297618
23,0.0163756653768
24,0.0161498154401
25,0.0160486991069
26,0.0163965814091
27,0.0159242854199
28,0.015973817422
29,0.0158140819031
30,0.0155775305623
31,0.0155831540659
32,0.0152473185907
33,0.0153686901631
34,0.0151646323126
35,0.0151919962819
36,0.0148480958333
37,0.0148957736697
38,0.015036962182
39,0.0147042251503
40,0.014749906501
41,0.0146291157835
42,0.0147026263779
43,0.0145617030465
44,0.0145486430613
45,0.0145399406306
46,0.0145463048554
47,0.014284683877
48,0.0142911575478
49,0.0142774755796
50,0.0140729797848
51,0.0139603966012
52,0.0138999916054
53,0.0140698029016
54,0.0137420690842
55,0.013806597574
56,0.0137126374404
57,0.0137530155887
58,0.013811717217
59,0.0136084243504
60,0.0135222837222
61,0.0135596071169
62,0.0137560929235
63,0.0136846111955
64,0.0132571644392
65,0.0133338747368
66,0.0134047550469
67,0.0135777751162
68,0.013370534912
69,0.0131194456668
70,0.0132481792035
71,0.0130545987833
72,0.0130654837869
73,0.0134070882299
74,0.0134014305738
75,0.0130614024921
76,0.0127282774323
77,0.0129305809365
78,0.0126313307097
79,0.0129789650999
80,0.0127953693385
81,0.0128201577537
82,0.0127779139273
83,0.0128056724536
84,0.0126809151072
85,0.01281272233
86,0.0124910113884
87,0.0128310620623
88,0.0126243424432
89,0.0125565378238
90,0.0126215392981
91,0.0127794566878
92,0.0124579214201
93,0.0125433365196
94,0.0124267749198
95,0.0123018637665
96,0.0124324649884
97,0.0124636385786
98,0.0121685736745
99,0.0122782685113
100,0.0124467406235
101,0.0123428951699
102,0.0120745026511
103,0.0122767915308
104,0.0125410626892
105,0.01198038692
106,0.0122324194504
107,0.0122423897045
108,0.0118290992198
109,0.0118714177768
110,0.0118787283521
111,0.0124614756696
112,0.0121689203454
113,0.0120274678125
114,0.012103282345
115,0.0122322144154
116,0.0117556654489
117,0.0118263933395
118,0.0119180085585
119,0.0116637942105
120,0.0117284330234
121,0.0117658368698
122,0.0118438976225
123,0.0116209680229
124,0.0121401827864
125,0.0121121609104
126,0.0116356878975
127,0.0114854661663
128,0.0117079827658
129,0.0118787778236
130,0.0117981090457
131,0.0118288910574
132,0.0116075520387
133,0.0115076196985
134,0.0114724043298
135,0.0114624627289
136,0.0113657034594
137,0.0113489940913
138,0.0115720691605
139,0.011470890746
140,0.0114062620478
141,0.011526095608
142,0.0117137828933
143,0.0110776629405
144,0.0116732008754
145,0.0115336990298
146,0.0112450403817
147,0.0114138295269
148,0.0117748666123
149,0.0114033465197
训练集,0.0728206559852 0.74541969952 0.815602387593
验证集,0.109628607563 1.15440570351 0.512174692342
测试集,0.25935415651 5.65663168657 0.0638555436711
